wash,garment,Before transfer,After transfer,value,band
W000,G4A,0,6,6,10
W000,G4A,0,3,3,1
W000,G4A,0,12,12,2
W000,G4A,1,10,9,3
W000,G4A,0,2,2,4
W000,G4A,0,2,2,5
W000,G4A,1,6,5,6
W000,G4A,1,5,4,7
W000,G4A,0,3,3,8
W000,G4A,0,9,9,9
W000,G4B,0,9,9,10
W000,G4B,0,7,7,1
W000,G4B,0,2,2,2
W000,G4B,0,3,3,3
W000,G4B,0,8,8,4
W000,G4B,0,5,5,5
W000,G4B,0,7,7,6
W000,G4B,0,2,2,7
W000,G4B,0,8,8,8
W000,G4B,0,5,5,9
W000,G4C,0,0,0,10
W000,G4C,0,11,11,1
W000,G4C,0,4,4,2
W000,G4C,0,5,5,3
W000,G4C,0,2,2,4
W000,G4C,0,8,8,5
W000,G4C,0,2,2,6
W000,G4C,0,4,4,7
W000,G4C,0,8,8,8
W000,G4C,0,9,9,9
W001,G4A,0,13,13,10
W001,G4A,0,14,14,1
W001,G4A,0,10,10,2
W001,G4A,0,9,9,3
W001,G4A,0,16,16,4
W001,G4A,0,11,11,5
W001,G4A,0,19,19,6
W001,G4A,0,20,20,7
W001,G4A,0,18,18,8
W001,G4A,0,15,15,9
W001,G4B,0,18,18,10
W001,G4B,0,11,11,1
W001,G4B,0,11,11,2
W001,G4B,0,5,5,3
W001,G4B,0,14,14,4
W001,G4B,0,6,6,5
W001,G4B,0,21,21,6
W001,G4B,0,10,10,7
W001,G4B,0,14,14,8
W001,G4B,0,14,14,9
W001,G4C,0,23,23,10
W001,G4C,0,6,6,1
W001,G4C,0,12,12,2
W001,G4C,0,9,9,3
W001,G4C,0,9,9,4
W001,G4C,1,5,4,5
W001,G4C,0,3,3,6
W001,G4C,0,14,14,7
W001,G4C,0,5,5,8
W001,G4C,0,15,15,9
W002,G4A,0,32,32,10
W002,G4A,1,17,16,1
W002,G4A,0,15,15,2
W002,G4A,0,16,16,3
W002,G4A,0,15,15,4
W002,G4A,1,14,13,5
W002,G4A,0,15,15,6
W002,G4A,0,17,17,7
W002,G4A,2,22,20,8
