V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
W000,6,1,7,5,5,8,8,6,7,6
W001,14,2,5,6,16,10,6,11,11,11
W002,4,2,1,1,4,6,2,5,3,3
W003,4,3,0,4,3,3,5,2,7,3
W004,2,5,0,2,2,0,4,0,2,0
W005,1,2,1,-1,2,2,3,1,1,1
W006,3,1,0,0,2,0,1,1,1,1
W007,-1,0,0,1,1,0,1,0,1,0
W009,0,0,1,0,1,0,1,0,0,0
W011,1,-2,0,1,0,2,0,-1,1,0
W013,-1,1,2,3,2,1,2,1,2,4
W015,0,1,2,1,2,0,1,2,2,1
