date,exp,wash,garment,band,sample,Before transfer,After transfer,value
20230509,MP,W000,G1,10,B,0,6,6
20230509,MP,W000,G1,1,B,0,6,6
20230509,MP,W000,G1,2,B,0,1,1
20230509,MP,W000,G1,3,B,0,7,7
20230509,MP,W000,G1,4,B,0,5,5
20230509,MP,W000,G1,5,B,0,5,5
20230509,MP,W000,G1,6,B,0,8,8
20230509,MP,W000,G1,7,B,0,8,8
20230509,MP,W000,G1,8,B,0,6,6
20230509,MP,W000,G1,9,B,0,7,7
20230510,MP,W001,G1,10,B,0,11,11
20230510,MP,W001,G1,1,B,0,14,14
20230510,MP,W001,G1,2,B,0,2,2
20230510,MP,W001,G1,3,B,0,5,5
20230510,MP,W001,G1,4,B,0,6,6
20230510,MP,W001,G1,5,B,0,16,16
20230510,MP,W001,G1,6,B,0,10,10
20230510,MP,W001,G1,7,B,0,6,6
20230510,MP,W001,G1,8,B,0,11,11
20230510,MP,W001,G1,9,B,0,11,11
20230510,MP,W002,G1,10,B,0,3,3
20230510,MP,W002,G1,1,B,0,4,4
20230510,MP,W002,G1,2,B,0,2,2
20230510,MP,W002,G1,3,B,0,1,1
20230510,MP,W002,G1,4,B,0,1,1
20230510,MP,W002,G1,5,B,0,4,4
20230510,MP,W002,G1,6,B,0,6,6
20230510,MP,W002,G1,7,B,0,2,2
20230510,MP,W002,G1,8,B,0,5,5
20230510,MP,W002,G1,9,B,0,3,3
202305010,MP,W003,G1,10,B,0,3,3
202305010,MP,W003,G1,1,B,0,4,4
202305010,MP,W003,G1,2,B,0,3,3
202305010,MP,W003,G1,3,B,0,0,0
202305010,MP,W003,G1,4,B,0,4,4
202305010,MP,W003,G1,5,B,0,3,3
202305010,MP,W003,G1,6,B,0,3,3
202305010,MP,W003,G1,7,B,1,6,5
202305010,MP,W003,G1,8,B,0,2,2
202305010,MP,W003,G1,9,B,0,7,7
202305010,MP,W004,G1,10,B,0,0,0
202305010,MP,W004,G1,1,B,0,2,2
202305010,MP,W004,G1,2,B,0,5,5
202305010,MP,W004,G1,3,B,0,0,0
202305010,MP,W004,G1,4,B,0,2,2
202305010,MP,W004,G1,5,B,0,2,2
202305010,MP,W004,G1,6,B,0,0,0
202305010,MP,W004,G1,7,B,0,4,4
202305010,MP,W004,G1,8,B,0,0,0
202305010,MP,W004,G1,9,B,0,2,2
202305010,MP,W005,G1,10,B,0,1,1
202305010,MP,W005,G1,1,B,0,1,1
202305010,MP,W005,G1,2,B,0,2,2
202305010,MP,W005,G1,3,B,1,2,1
202305010,MP,W005,G1,4,B,1,0,-1
202305010,MP,W005,G1,5,B,0,2,2
202305010,MP,W005,G1,6,B,0,2,2
202305010,MP,W005,G1,7,B,0,3,3
202305010,MP,W005,G1,8,B,0,1,1
202305010,MP,W005,G1,9,B,0,1,1
202305010,MP,W006,G1,10,B,0,1,1
202305010,MP,W006,G1,1,B,0,3,3
202305010,MP,W006,G1,2,B,0,1,1
202305010,MP,W006,G1,3,B,0,0,0
202305010,MP,W006,G1,4,B,0,0,0
202305010,MP,W006,G1,5,B,0,2,2
202305010,MP,W006,G1,6,B,0,0,0
202305010,MP,W006,G1,7,B,0,1,1
202305010,MP,W006,G1,8,B,0,1,1
202305010,MP,W006,G1,9,B,0,1,1
202305010,MP,W007,G1,10,B,0,0,0
202305010,MP,W007,G1,1,B,1,0,-1
202305010,MP,W007,G1,2,B,0,0,0
202305010,MP,W007,G1,3,B,1,1,0
202305010,MP,W007,G1,4,B,0,1,1
202305010,MP,W007,G1,5,B,0,1,1
202305010,MP,W007,G1,6,B,0,0,0
202305010,MP,W007,G1,7,B,0,1,1
202305010,MP,W007,G1,8,B,0,0,0
202305010,MP,W007,G1,9,B,0,1,1
20230614,MP,W009,G1,10,B,1,1,0
20230614,MP,W009,G1,1,B,2,2,0
20230614,MP,W009,G1,2,B,0,0,0
20230614,MP,W009,G1,3,B,0,1,1
20230614,MP,W009,G1,4,B,0,0,0
20230614,MP,W009,G1,5,B,0,1,1
20230614,MP,W009,G1,6,B,1,1,0
20230614,MP,W009,G1,7,B,0,1,1
20230614,MP,W009,G1,8,B,0,0,0
20230614,MP,W009,G1,9,B,0,0,0
20230614,MP,W011,G1,10,B,0,0,0
20230614,MP,W011,G1,1,B,1,2,1
20230614,MP,W011,G1,2,B,2,0,-2
20230614,MP,W011,G1,3,B,1,1,0
20230614,MP,W011,G1,4,B,0,1,1
20230614,MP,W011,G1,5,B,0,0,0
20230614,MP,W011,G1,6,B,0,2,2
20230614,MP,W011,G1,7,B,0,0,0
20230614,MP,W011,G1,8,B,1,0,-1
20230614,MP,W011,G1,9,B,0,1,1
20230630,MP,W013,G1,10,B,0,4,4
20230630,MP,W013,G1,1,B,2,1,-1
20230630,MP,W013,G1,2,B,0,1,1
20230630,MP,W013,G1,3,B,0,2,2
20230630,MP,W013,G1,4,B,0,3,3
20230630,MP,W013,G1,5,B,0,2,2
20230630,MP,W013,G1,6,B,0,1,1
20230630,MP,W013,G1,7,B,0,2,2
20230630,MP,W013,G1,8,B,0,1,1
20230630,MP,W013,G1,9,B,0,2,2
20230710,MP,W015,G1,10,B,1,2,1
20230710,MP,W015,G1,1,B,2,2,0
20230710,MP,W015,G1,2,B,0,1,1
20230710,MP,W015,G1,3,B,1,3,2
20230710,MP,W015,G1,4,B,1,2,1
20230710,MP,W015,G1,5,B,0,2,2
20230710,MP,W015,G1,6,B,0,0,0
20230710,MP,W015,G1,7,B,0,1,1
20230710,MP,W015,G1,8,B,0,2,2
20230710,MP,W015,G1,9,B,0,2,2
