Sample,Before transfer,After transfer,value
RT100_G1_6_para_B,0,3,3
RT10_G1_6_para_B,0,4,4
RT11_G1_6_para_B,0,10,10
RT12_G1_6_para_B,0,5,5
RT13_G1_6_para_B,0,5,5
RT14_G1_6_para_B,0,6,6
RT15_G1_6_para_B,0,3,3
RT16_G1_6_para_B,1,7,6
RT17_G1_6_para_B,0,1,1
RT18_G1_6_para_B,0,7,7
RT19_G1_6_para_B,0,2,2
RT1_G1_6_para_B,0,10,10
RT20_G1_6_para_B,0,2,2
RT21_G1_6_para_B,0,8,8
RT22_G1_6_para_B,0,4,4
RT23_G1_6_para_B,0,10,10
RT24_G1_6_para_B,0,5,5
RT25_G1_6_para_B,0,2,2
RT26_G1_6_para_B,0,5,5
RT27_G1_6_para_B,0,4,4
RT28_G1_6_para_B,0,5,5
RT29_G1_6_para_B,0,6,6
RT2_G1_6_para_B,0,6,6
RT30_G1_6_para_B,1,6,5
RT31_G1_6_para_B,0,7,7
RT32_G1_6_para_B,0,7,7
RT33_G1_6_para_B,0,1,1
RT34_G1_6_para_B,0,6,6
RT35_G1_6_para_B,0,2,2
RT36_G1_6_para_B,0,2,2
RT37_G1_6_para_B,0,3,3
RT38_G1_6_para_B,1,3,2
RT39_G1_6_para_B,0,7,7
RT3_G1_6_para_B,0,7,7
RT40_G1_6_para_B,0,5,5
RT41_G1_6_para_B,1,3,2
RT42_G1_6_para_B,0,2,2
RT43_G1_6_para_B,0,7,7
RT44_G1_6_para_B,0,2,2
RT45_G1_6_para_B,0,2,2
RT46_G1_6_para_B,0,0,0
RT47_G1_6_para_B,0,5,5
RT48_G1_6_para_B,0,2,2
RT49_G1_6_para_B,0,6,6
RT4_G1_6_para_B,0,5,5
RT50_G1_6_para_B,0,4,4
RT51_G1_6_para_B,0,5,5
RT52_G1_6_para_B,0,6,6
RT53_G1_6_para_B,0,4,4
RT54_G1_6_para_B,0,3,3
RT55_G1_6_para_B,0,3,3
RT56_G1_6_para_B,0,6,6
RT57_G1_6_para_B,0,3,3
RT58_G1_6_para_B,0,3,3
RT59_G1_6_para_B,0,2,2
RT5_G1_6_para_B,0,7,7
RT60_G1_6_para_B,0,6,6
RT61_G1_6_para_B,0,4,4
RT62_G1_6_para_B,0,9,9
RT63_G1_6_para_B,0,2,2
RT64_G1_6_para_B,0,4,4
RT65_G1_6_para_B,0,3,3
RT66_G1_6_para_B,0,2,2
RT67_G1_6_para_B,0,5,5
RT68_G1_6_para_B,0,4,4
RT69_G1_6_para_B,0,4,4
RT6_G1_6_para_B,0,9,9
RT70_G1_6_para_B,0,4,4
RT71_G1_6_para_B,0,3,3
RT72_G1_6_para_B,0,4,4
RT73_G1_6_para_B,0,1,1
RT74_G1_6_para_B,0,5,5
RT75_G1_6_para_B,0,7,7
RT76_G1_6_para_B,0,2,2
RT77_G1_6_para_B,0,4,4
RT78_G1_6_para_B,0,1,1
RT79_G1_6_para_B,2,1,-1
RT7_G1_6_para_B,0,12,12
RT80_G1_6_para_B,0,3,3
RT81_G1_6_para_B,0,5,5
RT82_G1_6_para_B,0,2,2
RT83_G1_6_para_B,0,4,4
RT84_G1_6_para_B,0,6,6
RT85_G1_6_para_B,0,9,9
RT86_G1_6_para_B,0,7,7
RT87_G1_6_para_B,0,5,5
RT88_G1_6_para_B,0,8,8
RT89_G1_6_para_B,0,3,3
RT8_G1_6_para_B,0,3,3
RT90_G1_6_para_B,0,3,3
RT91_G1_6_para_B,0,9,9
RT92_G1_6_para_B,0,2,2
RT93_G1_6_para_B,0,4,4
RT94_G1_6_para_B,0,3,3
RT95_G1_6_para_B,0,6,6
RT96_G1_6_para_B,1,4,3
RT97_G1_6_para_B,0,0,0
RT98_G1_6_para_B,0,1,1
RT99_G1_6_para_B,0,4,4
RT9_G1_6_para_B,0,7,7
