"Wash number","Average","median","SD","Forthesis"
"1","W000",6.1,6.5,2.13,"6.1 ± 2.13"
"2","W001",8.7,10,3.74,"8.7 ± 3.74"
"3","W002",3,3,1.63,"3 ± 1.63"
"4","W003",3.6,3.5,2.07,"3.6 ± 2.07"
"5","W004",1.7,2,1.77,"1.7 ± 1.77"
"6","W005",1.5,1.5,0.85,"1.5 ± 0.85"
"7","W006",1,1,0.94,"1 ± 0.94"
"8","W007",0.5,0.5,0.53,"0.5 ± 0.53"
"9","W009",0.7,1,0.67,"0.7 ± 0.67"
"10","W011",0.7,0.5,0.82,"0.7 ± 0.82"
