"Wash.number","Average","Median","SD"
"1","W000",5.9,6,2.02
"2","W001",9.2,10.5,4.34
"3","W002",3.1,3,1.66
"4","W003",3.4,3,1.84
"5","W004",1.7,2,1.77
"6","W005",1.3,1,1.06
"7","W006",1,1,0.94
"8","W007",0.3,0,0.67
"9","W009",0.3,0,0.48
"10","W011",0.2,0,1.14
"11","W013",1.7,2,1.34
"12","W015",1.2,1,0.79
