Slice,Count,Total Area,Average Size,%Area,Mean,Circ.,Solidity
W015_G1_1_para_Atr.TIF,6,0.082,0.014,0.068,255,0.317,0.626
W015_G1_2_para_Atr.TIF,2,0.025,0.012,0.021,255,0.299,0.645
W015_G1_3_para_Atr.TIF,2,0.044,0.022,0.036,255,0.152,0.478
W015_G1_6_perp_Atr.TIF,2,0.047,0.024,0.039,255,0.14,0.315
W015_G1_7_perp_Atr.TIF,3,0.063,0.021,0.052,255,0.17,0.378
W015_G1_8_perp_Atr.TIF,5,0.087,0.017,0.073,255,0.209,0.56
W015_G2_1_para_Atr.TIF,4,0.05,0.013,0.042,255,0.28,0.636
W015_G2_2_para_Atr.TIF,7,0.153,0.022,0.127,255,0.212,0.535
W015_G2_3_para_Atr.TIF,5,0.073,0.015,0.061,255,0.401,0.772
W015_G2_6_perp_Atr.TIF,3,0.034,0.011,0.028,255,0.281,0.592
W015_G2_7_perp_Atr.TIF,3,0.057,0.019,0.047,255,0.179,0.435
W015_G2_8_perp_Atr.TIF,5,0.124,0.025,0.104,255,0.174,0.557
W015_G3_1_para_Atr.TIF,7,0.066,0.009,0.055,255,0.325,0.684
W015_G3_2_para_Atr.TIF,8,0.107,0.013,0.089,255,0.366,0.725
W015_G3_3_para_Atr.TIF,4,0.083,0.021,0.069,255,0.183,0.499
W015_G3_6_perp_Atr.TIF,5,0.077,0.015,0.064,255,0.233,0.619
W015_G3_7_perp_Atr.TIF,3,0.039,0.013,0.032,255,0.331,0.683
W015_G3_8_perp_Atr.TIF,1,0.021,0.021,0.017,255,0.335,0.72
W015_G4_1_para_Atr.TIF,6,0.092,0.015,0.077,255,0.242,0.624
W015_G4_2_para_Atr.TIF,6,0.104,0.017,0.087,255,0.228,0.563
W015_G4_3_para_Atr.TIF,3,0.066,0.022,0.055,255,0.174,0.552
W015_G4_6_perp_Atr.TIF,5,0.051,0.01,0.043,255,0.329,0.649
W015_G4_7_perp_Atr.TIF,1,0.009,0.009,0.008,255,0.213,0.46
W015_G4_8_perp_Atr.TIF,5,0.159,0.032,0.133,255,0.136,0.5
W015_G5_1_para_Atr.TIF,7,0.097,0.014,0.08,255,0.261,0.565
W015_G5_2_para_Atr.TIF,1,0.02,0.02,0.017,255,0.21,0.512
W015_G5_3_para_Atr.TIF,7,0.08,0.011,0.067,255,0.393,0.675
W015_G5_6_perp_Atr.TIF,3,0.056,0.019,0.047,255,0.295,0.588
W015_G5_7_perp_Atr.TIF,3,0.029,0.01,0.024,255,0.309,0.665
W015_G5_8_perp_Atr.TIF,7,0.154,0.022,0.128,255,0.195,0.524
W015_negative__Atr.TIF,0,0,NaN,0,NaN,NaN,NaN
W015_positive__Atr.TIF,9,0.304,0.034,0.253,255,0.165,0.417
