Slice,Count,Total Area,Average Size,%Area,Mean,Circ.,Solidity
W009_G1_1_para_Atr.TIF,17,0.35,0.021,0.291,255,0.192,0.516
W009_G1_2_para_Atr.TIF,6,0.112,0.019,0.093,255,0.224,0.641
W009_G1_3_para_Atr.TIF,7,0.145,0.021,0.121,255,0.252,0.6
W009_G1_6_perp_Atr.TIF,13,0.286,0.022,0.238,255,0.231,0.603
W009_G1_7_perp_Atr.TIF,3,0.152,0.051,0.127,255,0.23,0.411
W009_G1_8_perp_Atr.TIF,7,0.136,0.019,0.113,255,0.251,0.604
W009_G2_1_para_Atr.TIF,5,0.047,0.009,0.039,255,0.304,0.588
W009_G2_2_para_Atr.TIF,6,0.153,0.026,0.128,255,0.131,0.412
W009_G2_3_para_Atr.TIF,7,0.099,0.014,0.082,255,0.237,0.529
W009_G2_6_perp_Atr.TIF,6,0.159,0.026,0.132,255,0.219,0.575
W009_G2_7_perp_Atr.TIF,4,0.112,0.028,0.093,255,0.252,0.576
W009_G2_8_perp_Atr.TIF,2,0.02,0.01,0.017,255,0.173,0.506
W009_G3_1_para_Atr.TIF,27,0.557,0.021,0.463,255,0.209,0.54
W009_G3_2_para_Atr.TIF,16,0.36,0.023,0.3,255,0.215,0.518
W009_G3_3_para_Atr.TIF,7,0.097,0.014,0.08,255,0.252,0.545
W009_G3_6_perp_Atr.TIF,10,0.139,0.014,0.116,255,0.22,0.565
W009_G3_7_perp_Atr.TIF,16,0.334,0.021,0.278,255,0.249,0.553
W009_G3_8_perp_Atr.TIF,11,0.193,0.018,0.16,255,0.277,0.617
W009_G4_1_para_Atr.TIF,10,0.199,0.02,0.166,255,0.178,0.522
W009_G4_2_para_Atr.TIF,8,0.137,0.017,0.114,255,0.237,0.571
W009_G4_3_para_Atr.TIF,9,0.279,0.031,0.233,255,0.184,0.447
W009_G4_6_perp_Atr.TIF,11,0.214,0.019,0.178,255,0.219,0.503
W009_G4_7_perp_Atr.TIF,5,0.076,0.015,0.063,255,0.29,0.61
W009_G4_8_perp_Atr.TIF,23,0.512,0.022,0.426,255,0.23,0.561
W009_G5_1_para_Atr.TIF,8,0.113,0.014,0.094,255,0.304,0.592
W009_G5_2_para_Atr.TIF,8,0.158,0.02,0.132,255,0.197,0.511
W009_G5_3_para_Atr.TIF,6,0.148,0.025,0.123,255,0.186,0.491
W009_G5_6_perp_Atr.TIF,13,0.353,0.027,0.294,255,0.192,0.52
W009_G5_7_perp_Atr.TIF,5,0.094,0.019,0.078,255,0.192,0.555
W009_G5_8_perp_Atr.TIF,8,0.16,0.02,0.133,255,0.297,0.589
W009_negative__Atr.TIF,1,0.012,0.012,0.01,255,0.215,0.488
W009_positive__Atr.TIF,14,0.405,0.029,0.337,255,0.179,0.503
