Slice,Count,Total Area,Average Size,%Area,Circ.,Solidity,
G14_F2_R6_C1_B.TIF,3,0.05,0.017,0.054,0.165,0.41,
G14_F2_R6_C2_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R6_C3_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R6_C4_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R6_C5_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R6_C6_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R6_C7_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R6_C8_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R6_C9_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R7_C10_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R7_C1_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R7_C2_B.TIF,1,0.006,0.006,0.005,0.486,0.743,
G14_F2_R7_C3_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R7_C4_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R7_C5_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R7_C6_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R7_C7_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R7_C8_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R7_C9_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R8_C10_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R8_C1_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R8_C2_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R8_C3_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R8_C4_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R8_C5_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R8_C6_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R8_C7_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R8_C8_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R8_C9_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R9_C10_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R9_C1_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R9_C2_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R9_C3_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R9_C4_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R9_C5_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R9_C6_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R9_C7_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R9_C8_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R9_C9_B.TIF,0,0,NaN,0,NaN,NaN,
