Slice,Count,Total Area,Average Size,%Area,Circ.,Solidity,
G14_F1_R8_C2_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R8_C3_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R8_C4_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R8_C5_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R8_C6_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R8_C7_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R8_C8_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R8_C9_AW.TIF,1,0.021,0.021,0.018,0.135,0.277,
G14_F1_R9_C10_AW.TIF,1,0.007,0.007,0.006,0.223,0.471,
G14_F1_R9_C1_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R9_C2_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R9_C3_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R9_C4_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R9_C5_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R9_C6_AW.TIF,1,0.042,0.042,0.035,0.099,0.329,
G14_F1_R9_C7_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R9_C8_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R9_C9_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R10_C1_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R1_C1_AW.TIF,1,0.008,0.008,0.006,0.192,0.423,
G14_F2_R1_C2_AW.TIF,5,0.039,0.008,0.032,0.269,0.545,
G14_F2_R1_C3_AW.TIF,13,0.157,0.012,0.129,0.412,0.744,
G14_F2_R1_C4_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R1_C6_AW.TIF,1,0.008,0.008,0.007,0.462,0.892,
G14_F2_R1_C9_AW.TIF,2,0.018,0.009,0.015,0.216,0.522,
G14_F2_R2_C1_AW.TIF,0,0,NaN,0,NaN,NaN,
