analogValue,load,distance
15.93,0.00,5.97
16.03,0.00,5.97
16.02,0.00,5.97
16.02,0.00,5.97
15.98,0.00,5.97
15.99,0.00,5.97
15.96,0.00,5.97
15.97,0.00,5.99
15.98,0.00,5.97
16.02,0.00,5.97
15.95,0.00,6.02
16.00,0.00,6.38
16.00,0.00,6.74
16.06,0.38,7.04
37.76,261.23,7.50
79.32,590.51,7.72
54.53,395.89,8.08
60.91,446.27,8.44
55.63,404.55,9.20
55.87,406.44,9.09
54.88,398.64,9.44
53.97,391.48,10.16
53.40,386.92,10.09
52.34,378.57,10.80
51.68,373.40,10.74
51.88,374.91,11.47
52.07,376.43,11.40
50.39,363.19,12.17
51.38,371.02,12.06
51.04,368.29,12.83
51.21,369.64,12.71
49.82,358.65,13.48
51.70,373.54,13.34
51.96,375.54,13.61
49.45,355.75,14.33
51.15,369.21,14.36
50.13,361.13,14.55
50.15,361.25,14.90
51.19,369.53,15.62
50.64,365.19,15.98
50.91,367.25,16.33
49.25,354.20,16.62
50.21,361.76,17.00
50.26,362.14,17.35
46.79,334.78,17.63
48.56,348.68,18.00
50.06,360.59,18.29
50.00,360.09,18.22
51.41,371.25,18.95
51.10,368.75,18.89
52.53,380.05,19.60
51.57,372.47,19.53
50.51,364.09,19.89
49.07,352.77,20.60
49.96,359.81,20.96
51.52,372.13,21.25
51.16,369.26,21.61
50.39,363.21,21.76
50.56,364.50,22.12
50.41,363.35,22.43
51.35,370.77,22.37
49.74,358.02,23.07
48.50,348.24,23.43
49.62,357.09,24.19
48.85,350.97,24.09
43.24,306.73,24.72
41.90,295.88,24.79
42.22,298.57,24.81
39.31,274.19,24.74
16.05,0.00,24.02
16.03,0.00,23.63
15.95,0.00,23.39
15.94,0.00,23.05
15.95,0.00,22.68
15.96,0.00,22.39
15.93,0.00,21.63
15.95,0.00,21.68
15.90,0.00,21.34
15.95,0.00,21.06
15.96,0.00,20.67
15.99,0.00,19.91
15.97,0.00,19.55
15.95,0.00,19.62
15.98,0.00,19.26
15.94,0.00,18.95
15.94,0.00,18.29
15.95,0.00,18.34
15.95,0.00,17.98
15.96,0.00,17.64
15.93,0.00,17.34
15.96,0.00,16.98
15.96,0.00,16.74
16.00,0.00,16.27
15.96,0.00,15.50
15.93,0.00,15.57
15.91,0.00,15.21
15.96,0.00,14.85
15.96,0.00,14.67
15.96,0.00,13.78
15.90,0.00,13.42
15.94,0.00,13.07
15.98,0.00,13.14
15.93,0.00,12.85
15.91,0.00,12.06
15.97,0.00,11.71
15.96,0.00,11.37
15.97,0.00,11.42
15.92,0.00,11.06
15.89,0.00,10.34
15.96,0.00,9.99
15.92,0.00,9.65
15.96,0.00,9.70
15.91,0.00,9.41
15.88,0.00,8.64
15.93,0.00,8.29
15.97,0.00,7.93
15.95,0.00,7.57
15.94,0.00,7.37
15.92,0.00,7.01
15.96,0.00,6.67
15.93,0.00,6.21
