analogValue,load,distance
16.01,0.00,5.97
16.02,0.00,5.97
16.02,0.00,6.07
16.00,0.00,5.97
16.02,0.00,5.99
16.02,0.00,6.07
16.03,0.00,5.99
15.99,0.00,6.07
16.07,0.82,5.90
16.03,0.00,5.97
16.05,0.00,5.97
16.25,6.70,5.94
16.04,0.00,5.97
16.01,0.00,5.68
16.18,4.27,6.48
43.52,308.90,6.72
60.54,443.32,7.01
63.62,467.69,7.37
56.75,413.40,7.67
54.86,398.50,8.03
54.11,392.54,8.78
51.76,374.00,8.68
52.02,376.09,9.03
51.64,373.03,9.32
51.38,370.97,9.68
51.32,370.52,10.40
51.24,369.92,10.33
48.83,350.82,10.63
50.00,360.06,10.99
48.17,345.62,11.76
48.41,347.51,12.05
47.96,343.94,12.00
47.74,342.21,12.34
48.90,351.43,12.64
46.51,332.54,13.00
47.54,340.70,13.71
45.47,324.34,13.65
46.24,330.41,14.00
46.74,334.38,14.19
44.46,316.35,14.55
45.63,325.58,15.26
45.09,321.31,15.62
45.62,325.51,15.98
43.28,307.03,16.33
43.87,311.65,17.10
44.25,314.65,16.98
44.80,319.00,17.34
44.16,314.00,17.63
44.18,314.09,17.58
43.95,312.28,18.34
43.88,311.75,18.22
44.55,317.03,19.01
42.71,302.49,19.36
43.19,306.27,19.63
43.78,310.97,20.01
43.73,310.58,20.37
42.30,299.26,20.64
42.96,304.47,20.60
42.65,302.06,21.35
42.50,300.85,21.23
42.63,301.86,21.59
41.97,296.49,22.17
42.31,299.32,22.12
42.63,301.91,22.88
37.75,261.09,22.71
34.39,232.92,23.19
16.48,14.48,22.95
16.00,0.00,22.20
16.04,0.00,22.25
16.03,0.00,21.66
15.98,0.00,21.20
15.99,0.00,21.25
16.01,0.00,20.91
15.99,0.00,20.71
15.96,0.00,20.26
16.01,0.00,19.48
16.01,0.00,19.55
16.01,0.00,18.89
15.96,0.00,18.84
16.04,0.00,18.58
15.99,0.00,18.27
15.99,0.00,17.51
16.00,0.00,17.15
16.01,0.00,16.81
16.02,0.00,16.86
15.99,0.00,16.57
15.99,0.00,16.21
15.96,0.00,15.86
16.00,0.00,15.50
16.01,0.00,14.72
15.99,0.00,14.38
16.03,0.00,14.02
15.97,0.00,14.07
16.01,0.00,13.71
15.98,0.00,13.37
16.01,0.00,12.66
15.98,0.00,12.30
16.03,0.00,12.45
15.94,0.00,12.11
15.97,0.00,11.76
16.03,0.00,10.94
16.07,0.56,10.69
15.99,0.00,10.31
15.98,0.00,9.87
15.98,0.00,10.04
15.97,0.00,9.22
16.00,0.00,8.86
15.98,0.00,8.51
16.00,0.00,8.15
15.96,0.00,7.79
15.98,0.00,7.86
15.96,0.00,7.15
15.93,0.00,6.38
15.96,0.00,6.53
15.97,0.00,6.07
15.96,0.00,5.97
15.95,0.00,6.07
15.98,0.00,5.97
15.97,0.00,6.07
16.02,0.00,5.97
15.99,0.00,5.97
