analogValue,load,distance
15.93,0.00,5.99
15.94,0.00,5.97
15.97,0.00,6.09
15.95,0.00,5.97
15.92,0.00,6.07
15.93,0.00,5.99
15.98,0.00,5.99
16.01,0.00,6.04
15.98,0.00,6.72
25.45,143.83,6.55
75.35,559.53,6.89
56.27,409.64,7.20
51.77,374.07,7.54
51.63,372.97,7.84
51.33,370.60,8.20
52.80,382.24,8.51
54.06,392.14,9.27
49.73,357.96,9.15
51.97,375.66,9.49
50.56,364.53,9.39
51.16,369.23,10.57
50.18,361.55,10.45
49.89,359.23,11.23
51.35,370.74,10.69
50.43,363.48,11.81
50.28,362.27,11.76
51.25,370.00,12.45
49.43,355.56,12.40
49.22,353.93,12.76
48.97,351.99,13.07
48.25,346.30,13.32
49.25,354.21,13.71
48.32,346.79,14.38
49.43,355.56,14.26
50.26,362.18,14.97
50.57,364.62,15.33
51.51,372.05,15.69
49.36,355.04,15.55
50.48,363.86,16.33
50.15,361.26,16.64
49.68,357.56,17.00
49.15,353.41,17.29
50.04,360.42,17.63
49.00,352.18,17.93
50.74,365.97,18.29
49.60,356.93,18.58
49.70,357.74,18.94
50.74,365.92,19.24
49.71,357.79,19.58
51.62,372.90,19.89
49.46,355.81,20.20
49.20,353.74,20.13
47.10,337.21,20.83
47.99,344.20,21.18
47.50,340.37,21.08
48.77,350.42,21.73
47.95,343.91,21.61
47.19,337.94,21.90
48.04,344.64,22.66
45.63,325.55,22.54
41.84,295.45,23.12
41.15,289.65,23.14
41.37,291.50,23.14
41.34,291.26,23.14
41.23,290.32,23.14
32.68,218.56,22.66
16.00,0.00,22.82
15.91,0.00,22.03
15.91,0.00,21.68
15.85,0.00,21.39
15.91,0.00,21.15
15.90,0.00,21.20
15.91,0.00,20.79
15.90,0.00,20.01
15.89,0.00,19.67
15.94,0.00,19.72
15.87,0.00,19.43
15.97,0.00,19.07
15.87,0.00,18.72
15.90,0.00,18.53
15.92,0.00,18.17
15.94,0.00,18.24
15.92,0.00,17.51
15.86,0.00,17.17
15.94,0.00,17.22
15.92,0.00,16.56
15.91,0.00,15.67
15.91,0.00,15.84
15.93,0.00,15.38
15.83,0.00,15.04
15.86,0.00,14.33
15.93,0.00,14.00
15.92,0.00,13.61
15.87,0.00,13.68
15.89,0.00,12.97
15.92,0.00,12.18
15.90,0.00,12.68
15.90,0.00,12.30
15.87,0.00,11.64
15.83,0.00,11.23
15.92,0.00,10.89
15.86,0.00,10.51
15.92,0.00,10.17
15.95,0.00,9.82
15.89,0.00,9.53
15.92,0.00,9.17
15.87,0.00,8.80
15.92,0.00,8.46
15.92,0.00,8.20
15.91,0.00,8.22
15.92,0.00,7.45
15.90,0.00,7.10
15.93,0.00,6.72
15.91,0.00,6.48
15.86,0.00,6.13
15.94,0.00,5.97
15.85,0.00,5.99
15.96,0.00,5.97
15.91,0.00,5.99
15.88,0.00,6.07
15.93,0.00,5.97
