analogValue,load,distance
15.99,0.00,5.97
16.05,0.00,5.99
16.05,0.00,5.97
15.97,0.00,5.97
16.01,0.00,5.97
16.00,0.00,5.97
16.04,0.00,5.99
16.04,0.00,5.97
16.06,0.00,5.99
16.04,0.00,5.97
16.04,0.00,5.97
20.20,72.08,6.24
47.21,331.15,6.48
64.30,466.41,6.84
70.32,513.72,7.54
52.13,370.16,7.49
58.88,423.65,7.84
53.74,382.91,8.13
52.64,374.21,8.51
50.49,357.15,9.26
49.31,347.79,9.14
50.12,354.27,9.49
48.18,338.86,9.80
49.47,349.11,10.16
47.15,330.72,10.92
47.76,335.48,11.23
46.88,328.57,11.16
47.30,331.90,11.50
46.45,325.09,11.81
45.86,320.46,12.17
47.58,334.06,12.47
45.19,315.17,12.40
46.84,328.23,13.17
45.72,319.31,13.37
46.62,326.51,13.83
46.04,321.88,14.02
45.82,320.15,14.48
46.13,322.59,15.14
44.93,313.09,15.02
46.23,323.38,15.81
45.71,319.30,16.10
44.87,312.59,17.34
45.98,321.42,16.81
45.21,315.27,17.17
44.98,313.47,17.51
44.31,308.16,18.22
45.28,315.82,18.17
44.15,306.90,18.46
44.14,306.82,18.41
44.80,312.07,18.75
43.31,300.19,18.63
44.58,310.32,19.41
44.48,309.48,19.70
43.59,302.45,20.06
43.65,302.94,20.42
44.13,306.73,20.71
44.31,308.14,21.40
43.73,303.55,21.64
43.98,305.54,21.71
44.22,307.41,22.36
42.88,296.65,22.24
44.58,310.32,22.60
43.81,304.18,22.88
40.38,275.80,23.60
37.13,248.61,23.72
23.76,118.39,23.60
16.05,0.00,22.85
16.02,0.00,22.56
16.00,0.00,22.32
16.00,0.00,22.27
15.99,0.00,21.66
15.99,0.00,21.20
15.95,0.00,20.94
16.03,0.00,20.08
15.97,0.00,20.25
16.02,0.00,19.94
15.99,0.00,19.48
15.96,0.00,19.12
16.06,0.00,18.77
15.96,0.00,18.53
16.01,0.00,18.15
15.98,0.00,17.76
15.94,0.00,17.52
16.00,0.00,17.17
16.00,0.00,16.81
15.97,0.00,17.29
15.97,0.00,16.93
15.99,0.00,16.15
15.98,0.00,15.81
15.99,0.00,15.45
15.98,0.00,14.67
16.01,0.00,13.90
15.98,0.00,13.97
16.00,0.00,13.66
16.04,0.00,13.31
15.96,0.00,12.95
15.99,0.00,12.69
16.01,0.00,11.83
15.99,0.00,11.94
16.03,0.00,11.59
15.99,0.00,11.65
15.97,0.00,10.87
15.95,0.00,10.51
15.96,0.00,10.17
15.94,0.00,10.23
15.96,0.00,9.51
15.96,0.00,9.15
15.98,0.00,8.81
15.98,0.00,8.51
15.94,0.00,8.15
15.98,0.00,7.79
15.95,0.00,7.54
15.91,0.00,7.08
16.00,0.00,6.72
15.93,0.00,6.43
15.99,0.00,6.09
16.01,0.00,6.07
15.95,0.00,5.97
15.94,0.00,5.99
15.95,0.00,5.97
15.94,0.00,5.97
