analogValue,load,distance
15.97,0.00,5.99
15.96,0.00,5.96
15.90,0.00,5.97
16.02,0.00,5.99
16.02,0.00,5.97
15.99,0.00,5.94
15.99,0.00,6.07
15.94,0.00,5.97
15.97,0.00,5.99
16.03,0.00,5.99
15.95,0.00,5.97
15.98,0.00,5.99
16.03,0.00,6.11
16.18,4.32,6.52
51.21,369.62,6.84
72.05,533.77,7.15
62.94,462.27,7.89
57.48,419.16,7.37
56.45,411.02,8.13
53.35,386.58,8.49
52.87,382.73,9.20
52.23,377.73,9.09
53.20,385.37,9.44
51.40,371.14,9.80
50.48,363.86,10.11
50.66,365.30,10.87
49.32,354.72,10.75
50.25,362.07,11.47
48.64,349.37,11.40
49.43,355.61,12.11
49.54,356.46,12.47
47.75,342.35,12.35
49.64,357.27,12.71
48.39,347.35,13.00
49.17,353.54,13.78
49.06,352.65,13.65
48.51,348.29,13.90
48.86,351.11,14.29
47.53,340.55,14.97
47.96,343.97,15.26
48.95,351.81,15.62
47.40,339.53,15.91
47.76,342.41,16.27
47.41,339.68,16.57
46.62,333.39,16.93
47.32,338.92,16.81
47.39,339.45,17.17
47.32,338.91,17.87
47.68,341.77,18.22
48.00,344.28,18.53
48.17,345.68,18.89
48.11,345.15,19.18
46.72,334.22,19.53
47.03,336.63,19.82
47.80,342.73,19.77
47.04,336.74,20.47
46.07,329.03,20.42
47.25,338.35,21.13
46.87,335.38,21.06
47.08,337.07,21.37
46.51,332.52,22.00
46.02,328.68,21.88
46.71,334.13,22.60
46.45,332.04,22.53
46.56,332.94,23.31
45.76,326.58,23.60
40.94,287.87,24.31
17.36,34.73,24.14
15.93,0.00,23.39
15.90,0.00,22.70
15.87,0.00,22.34
15.95,0.00,21.98
15.99,0.00,21.68
16.02,0.00,21.44
15.90,0.00,20.96
15.92,0.00,21.03
15.88,0.00,20.33
15.95,0.00,19.96
15.94,0.00,20.13
15.87,0.00,19.67
15.92,0.00,19.38
15.94,0.00,19.01
15.91,0.00,18.66
15.89,0.00,18.46
15.95,0.00,18.00
15.93,0.00,17.76
16.01,0.00,17.39
15.92,0.00,17.15
15.93,0.00,16.74
15.92,0.00,16.08
15.90,0.00,15.62
15.92,0.00,15.67
15.94,0.00,15.74
15.90,0.00,15.04
15.88,0.00,14.26
15.91,0.00,13.90
15.96,0.00,13.54
15.94,0.00,13.68
15.91,0.00,13.00
15.94,0.00,12.54
15.93,0.00,12.71
15.89,0.00,12.25
15.93,0.00,11.89
15.89,0.00,11.69
15.96,0.00,10.82
15.84,0.00,10.87
15.97,0.00,10.51
15.88,0.00,9.82
15.92,0.00,9.46
15.88,0.00,9.10
15.92,0.00,8.92
15.87,0.00,8.05
15.90,0.00,8.10
15.90,0.00,7.81
15.89,0.00,7.81
15.91,0.00,7.10
15.91,0.00,6.74
15.89,0.00,6.09
15.92,0.00,5.73
15.90,0.00,5.99
15.95,0.00,5.99
