analogValue,load,distance
16.08,0.00,5.97
16.11,0.00,6.01
16.09,0.00,6.07
16.12,0.00,6.01
16.13,0.00,5.94
16.11,0.00,5.97
16.13,0.00,5.68
16.15,0.00,6.38
16.69,18.02,6.77
61.15,448.16,7.01
69.93,517.21,7.37
50.13,361.11,7.72
48.62,349.17,8.08
56.50,411.47,8.37
51.54,372.25,8.73
51.20,369.59,9.09
47.78,342.52,9.37
48.95,351.84,9.73
47.52,340.49,10.09
47.13,337.46,10.38
48.89,351.31,10.74
48.29,346.60,11.45
46.60,333.23,11.40
49.82,358.69,12.17
47.87,343.29,12.52
49.45,355.74,12.40
49.32,354.70,12.76
47.94,343.86,13.10
48.65,349.45,13.82
47.87,343.25,14.17
45.86,327.40,14.48
45.87,327.49,14.31
45.28,322.78,14.67
46.72,334.21,15.43
45.15,321.78,15.74
46.09,329.24,16.08
46.12,329.47,16.03
44.71,318.34,16.79
46.21,330.19,17.10
45.30,322.94,17.46
45.68,325.96,17.39
46.35,331.25,18.10
45.87,327.50,18.46
46.03,328.76,18.39
44.94,320.11,18.75
47.41,339.66,19.45
45.61,325.44,19.80
45.80,326.94,19.75
45.14,321.67,20.11
45.61,325.41,20.83
45.21,322.28,20.76
44.72,318.37,21.44
45.94,328.06,21.78
44.80,319.01,22.05
43.86,311.61,22.00
42.84,303.52,22.36
32.00,212.88,22.48
16.27,4.03,22.61
16.10,0.00,21.95
16.09,0.00,21.49
16.08,0.00,21.13
16.10,0.00,20.77
16.09,0.00,20.42
16.10,0.00,20.49
16.08,0.00,19.72
16.09,0.00,19.77
16.10,0.00,19.52
16.09,0.00,18.75
16.10,0.00,18.78
16.12,0.00,18.10
16.11,0.00,18.15
16.09,0.00,17.39
16.09,0.00,17.44
16.07,0.00,17.08
16.08,0.00,16.74
16.09,0.00,15.98
16.10,0.00,16.03
16.07,0.00,15.26
16.06,0.00,15.31
16.06,0.00,14.55
16.11,0.00,14.29
16.09,0.00,13.83
16.08,0.00,13.48
16.06,0.00,13.14
16.08,0.00,13.19
16.08,0.00,12.83
16.12,0.00,12.56
16.07,0.00,12.18
16.11,0.00,11.81
16.07,0.00,11.42
16.08,0.00,11.11
16.08,0.00,10.45
16.08,0.00,10.09
16.06,0.00,9.73
16.07,0.00,9.27
16.10,0.00,8.93
16.05,0.00,8.56
16.10,0.00,8.73
16.10,0.00,8.37
16.10,0.00,7.55
16.09,0.00,7.21
16.08,0.00,6.86
16.07,0.00,6.60
16.08,0.00,6.14
16.12,0.00,5.97
16.08,0.00,6.07
16.09,0.00,5.97
16.07,0.00,5.97
16.05,0.00,5.97
16.07,0.00,5.97
16.10,0.00,5.97
16.08,0.00,5.97
16.10,0.00,5.97
16.10,0.00,5.97
16.10,0.00,6.07
16.07,0.00,6.07
16.09,0.00,5.97
16.11,0.00,5.97
16.06,0.00,5.97
16.10,0.00,5.97
16.09,0.00,6.07
