analogValue,load,distance
16.09,0.00,5.97
16.12,0.00,6.07
16.12,0.00,6.07
16.11,0.00,6.02
16.12,0.00,5.92
16.09,0.00,5.97
16.08,0.00,5.97
16.11,0.00,5.97
16.08,0.00,6.19
16.12,0.00,6.60
16.16,0.21,7.01
43.98,312.58,7.25
73.82,547.60,7.96
61.67,452.27,7.89
60.33,441.71,8.27
55.38,402.62,8.56
58.62,428.20,8.92
60.87,445.91,9.61
58.09,423.96,9.56
60.02,439.21,9.85
57.35,418.13,10.21
57.42,418.71,10.57
57.54,419.66,11.28
55.96,407.19,11.23
59.29,433.47,11.50
57.38,418.42,11.88
54.08,392.32,12.64
53.64,388.84,12.93
54.12,392.63,12.88
54.60,396.42,13.19
54.31,394.12,13.53
54.27,393.80,14.14
50.36,362.91,14.50
49.99,360.00,14.84
51.13,369.00,14.72
51.79,374.27,15.50
52.10,376.69,15.86
52.87,382.78,16.15
48.89,351.32,16.50
47.60,341.10,16.86
51.14,369.09,16.74
50.33,362.68,17.10
51.00,368.00,17.81
48.78,350.45,17.75
50.22,361.86,18.51
49.05,352.63,18.82
51.16,369.28,19.18
51.63,372.94,19.53
49.28,354.38,19.82
47.68,341.76,19.75
46.97,336.18,20.54
49.37,355.15,20.42
49.03,352.46,21.18
47.86,343.23,21.54
45.09,321.29,21.42
46.49,332.35,21.64
48.24,346.18,22.36
49.08,352.84,22.31
48.02,344.42,23.07
45.97,328.26,23.36
45.70,326.14,23.72
40.97,288.08,23.91
16.94,24.27,23.72
16.07,0.00,23.39
16.08,0.00,22.61
16.08,0.00,22.68
16.09,0.00,22.32
16.05,0.00,21.63
16.10,0.00,21.37
16.06,0.00,20.91
16.09,0.00,21.06
16.08,0.00,20.60
16.09,0.00,20.32
16.04,0.00,19.91
16.06,0.00,19.55
16.08,0.00,19.35
16.07,0.00,18.99
16.09,0.00,18.53
16.09,0.00,18.29
16.08,0.00,17.93
16.07,0.00,17.17
16.10,0.00,16.81
16.10,0.00,16.96
16.07,0.00,16.66
16.08,0.00,16.21
16.07,0.00,15.96
16.09,0.00,15.50
16.09,0.00,14.73
16.12,0.00,14.48
16.08,0.00,14.12
16.08,0.00,13.66
16.08,0.00,13.82
16.09,0.00,13.37
16.04,0.00,13.02
16.05,0.00,12.30
16.06,0.00,12.05
16.07,0.00,12.01
16.07,0.00,11.65
16.07,0.00,10.89
16.08,0.00,10.53
16.07,0.00,10.58
16.09,0.00,9.87
16.07,0.00,9.51
16.04,0.00,9.15
16.06,0.00,8.80
16.08,0.00,8.46
16.07,0.00,8.10
16.06,0.00,8.22
16.06,0.00,7.44
16.08,0.00,7.10
16.06,0.00,6.74
16.06,0.00,6.38
16.07,0.00,6.14
16.06,0.00,5.97
16.08,0.00,6.07
16.10,0.00,5.97
16.06,0.00,5.97
16.06,0.00,5.97
16.10,0.00,5.97
16.09,0.00,5.97
16.09,0.00,5.97
