analogValue,load,distance
16.18,0.00,5.97
16.26,0.13,5.94
16.17,0.00,5.97
16.12,0.00,6.07
16.27,0.39,5.94
16.14,0.00,5.92
16.22,0.00,5.97
16.21,0.00,6.09
16.19,0.00,6.09
16.12,0.00,6.02
16.23,0.00,6.01
16.27,0.44,6.01
24.28,124.10,6.24
61.08,440.97,6.48
53.78,383.28,6.48
60.58,437.05,7.20
45.96,321.27,7.55
54.99,392.83,7.89
49.16,346.59,8.20
50.11,354.12,8.56
50.52,357.40,8.92
49.36,348.19,9.27
49.18,346.81,9.56
47.54,333.77,9.92
46.44,325.05,10.26
46.71,327.15,10.57
45.31,316.10,11.33
46.10,322.32,11.64
47.50,333.43,11.59
45.49,317.55,11.52
45.05,314.06,12.64
45.86,320.44,13.00
44.35,308.45,13.36
46.78,327.75,13.12
44.98,313.49,13.92
46.23,323.37,13.53
45.38,316.64,14.56
45.96,321.28,14.92
46.40,324.71,15.30
45.42,316.92,15.62
44.34,308.38,16.38
45.41,316.90,16.69
44.01,305.74,16.64
45.78,319.77,16.98
44.64,310.76,17.29
44.98,313.45,17.22
42.62,294.46,17.58
43.71,303.36,18.29
43.49,301.67,18.24
43.87,304.63,18.53
43.45,301.37,18.89
44.19,307.18,19.24
43.79,304.00,20.01
43.04,298.03,20.30
43.58,302.36,20.66
42.82,296.18,21.01
43.18,299.20,21.30
43.20,299.39,21.63
41.80,287.62,21.88
42.74,295.46,22.19
41.44,284.64,22.49
36.95,247.04,22.24
34.68,228.10,22.24
34.48,226.43,22.66
17.01,16.14,22.20
16.16,0.00,21.74
16.08,0.00,21.86
16.14,0.00,21.86
16.18,0.00,21.18
16.11,0.00,20.38
16.18,0.00,20.03
16.13,0.00,20.08
16.15,0.00,19.72
16.22,0.00,19.06
16.12,0.00,18.60
16.05,0.00,18.34
16.13,0.00,18.05
16.00,0.00,18.05
16.13,0.00,17.29
16.13,0.00,16.98
16.21,0.00,17.05
16.13,0.00,16.79
16.18,0.00,16.33
16.08,0.00,16.40
16.07,0.00,15.57
16.16,0.00,15.36
16.08,0.00,15.01
16.04,0.00,14.56
16.15,0.00,14.21
16.10,0.00,13.42
16.07,0.00,13.07
16.16,0.00,12.71
16.19,0.00,12.37
16.14,0.00,12.42
16.11,0.00,12.17
16.04,0.00,11.81
16.19,0.00,10.94
16.09,0.00,10.69
16.05,0.00,10.23
16.17,0.00,10.29
16.10,0.00,9.99
16.12,0.00,9.22
16.17,0.00,8.86
16.15,0.00,8.61
16.17,0.00,8.25
16.09,0.00,7.79
16.11,0.00,7.45
16.11,0.00,7.20
16.12,0.00,6.74
16.07,0.00,6.11
16.06,0.00,5.73
16.07,0.00,6.14
16.18,0.00,5.99
16.08,0.00,5.97
16.12,0.00,5.97
16.14,0.00,5.97
16.16,0.00,5.99
16.06,0.00,5.97
16.09,0.00,6.09
16.07,0.00,5.97
16.11,0.00,5.99
