analogValue,load,distance
16.02,0.00,5.97
16.03,0.00,6.09
16.08,0.00,5.97
16.05,0.00,5.97
16.00,0.00,5.99
16.05,0.00,5.97
16.03,0.00,6.07
16.00,0.00,5.97
16.09,0.00,6.23
16.08,0.00,6.53
19.40,68.66,6.89
71.13,526.63,7.55
59.68,436.55,7.55
65.13,479.55,7.84
48.60,349.03,8.20
59.22,432.92,8.56
54.23,393.52,9.26
53.69,389.22,9.20
53.18,385.25,9.51
51.89,375.05,9.85
52.29,378.19,10.21
51.73,373.80,10.57
50.77,366.21,11.28
49.43,355.56,11.23
49.27,354.35,11.93
49.95,359.70,11.88
49.73,357.94,12.22
48.61,349.10,13.00
50.42,363.43,13.29
49.29,354.52,13.12
49.59,356.83,13.58
49.72,357.89,13.82
47.04,336.72,14.55
50.18,361.53,14.84
49.74,358.05,15.21
50.10,360.86,15.55
51.83,374.58,15.91
53.32,386.36,15.84
54.54,396.00,16.15
52.93,383.27,16.91
53.37,386.70,17.27
55.23,401.42,17.58
55.32,402.14,17.93
54.34,394.39,18.27
54.34,394.39,18.58
54.73,397.49,18.94
55.84,406.19,18.87
55.50,403.52,19.63
56.79,413.75,19.94
55.89,406.62,19.87
55.41,402.80,20.66
54.98,399.43,20.94
53.08,384.44,21.30
53.24,385.73,21.52
53.17,385.13,21.88
52.81,382.27,21.76
50.42,363.44,22.12
50.50,364.04,22.83
49.84,358.83,23.19
49.21,353.87,23.55
41.50,292.57,23.72
16.74,19.87,23.48
16.05,0.00,23.16
16.06,0.00,22.85
16.02,0.00,22.08
16.02,0.00,22.25
16.06,0.00,21.47
16.02,0.00,21.03
16.05,0.00,20.77
16.02,0.00,20.32
16.00,0.00,20.37
16.01,0.00,19.60
16.05,0.00,19.77
16.04,0.00,19.29
16.03,0.00,18.95
16.02,0.00,18.70
16.03,0.00,18.34
16.04,0.00,17.88
16.02,0.00,17.63
15.98,0.00,17.27
16.02,0.00,16.98
16.01,0.00,16.62
16.07,0.00,15.86
16.03,0.00,15.91
16.03,0.00,15.14
16.06,0.00,15.19
16.03,0.00,14.53
16.02,0.00,14.17
16.02,0.00,13.71
16.02,0.00,13.36
16.03,0.00,13.53
16.00,0.00,12.66
16.02,0.00,12.88
16.05,0.00,12.52
16.05,0.00,11.65
16.05,0.00,11.30
16.02,0.00,10.94
16.04,0.00,10.58
15.99,0.00,10.23
16.04,0.00,10.28
16.04,0.00,9.99
16.03,0.00,9.22
16.01,0.00,8.86
16.02,0.00,8.51
16.04,0.00,8.15
16.03,0.00,7.79
16.01,0.00,8.01
16.05,0.00,7.15
16.02,0.00,6.38
16.04,0.00,6.04
15.99,0.00,6.18
16.02,0.00,6.09
16.00,0.00,5.97
16.05,0.00,5.97
16.03,0.00,5.97
15.99,0.00,5.99
16.02,0.00,5.97
16.02,0.00,5.97
16.01,0.00,5.97
16.01,0.00,5.97
16.01,0.00,6.09
