analogValue,load,distance
15.96,0.00,5.97
15.99,0.00,5.99
15.96,0.00,6.07
15.95,0.00,5.97
15.95,0.00,6.07
15.92,0.00,5.97
15.93,0.00,5.97
15.95,0.00,5.97
15.97,0.00,5.97
15.96,0.00,5.97
16.02,0.00,6.18
41.13,289.48,6.53
76.34,567.25,6.84
68.06,502.65,7.61
57.98,423.15,7.54
63.29,465.04,7.84
52.24,377.78,8.20
56.19,408.95,8.56
53.73,389.56,9.27
52.19,377.43,9.20
52.10,376.66,9.97
50.46,363.75,9.87
49.61,357.05,10.21
49.12,353.16,10.57
49.32,354.75,10.87
49.08,352.84,11.23
48.22,346.06,11.52
48.53,348.45,11.88
49.90,359.33,12.23
48.33,346.88,13.00
48.99,352.13,12.88
47.76,342.41,13.24
47.64,341.42,13.53
48.35,347.05,13.78
46.86,335.31,14.55
47.87,343.27,15.01
47.88,343.37,14.89
46.98,336.23,15.55
47.08,337.01,15.93
46.61,333.33,16.27
47.98,344.15,16.57
46.47,332.25,16.93
46.91,335.67,17.27
47.58,340.99,17.63
47.89,343.40,17.93
47.55,340.73,18.29
46.35,331.28,18.65
46.61,333.32,18.94
46.49,332.39,18.89
46.58,333.10,19.24
46.55,332.86,19.94
44.83,319.22,20.30
45.49,324.44,20.25
45.63,325.61,20.59
45.14,321.69,21.30
45.31,323.06,21.25
45.49,324.49,21.90
45.17,321.96,22.24
45.31,323.02,22.12
44.39,315.76,22.48
45.51,324.61,23.24
39.86,278.82,23.48
37.77,261.24,23.55
37.71,260.79,23.55
37.60,259.83,23.55
37.56,259.49,23.53
23.24,118.95,23.89
15.97,0.00,23.11
15.94,0.00,22.80
15.90,0.00,22.44
15.93,0.00,21.68
15.93,0.00,21.74
15.93,0.00,21.39
15.91,0.00,21.03
15.91,0.00,20.67
15.88,0.00,20.32
15.92,0.00,19.96
15.96,0.00,19.26
15.87,0.00,18.90
15.92,0.00,18.95
15.92,0.00,18.29
15.87,0.00,17.93
15.91,0.00,17.58
15.86,0.00,17.63
15.91,0.00,17.20
15.94,0.00,16.91
15.94,0.00,16.67
15.93,0.00,16.21
15.90,0.00,15.86
15.90,0.00,15.57
15.91,0.00,15.14
15.88,0.00,14.45
15.94,0.00,14.60
15.89,0.00,13.71
15.91,0.00,13.78
15.93,0.00,13.02
15.91,0.00,12.66
15.87,0.00,12.30
15.89,0.00,12.37
15.95,0.00,12.06
15.93,0.00,11.40
15.90,0.00,10.94
15.94,0.00,10.58
15.92,0.00,10.23
15.91,0.00,9.87
15.90,0.00,9.94
15.92,0.00,9.68
15.93,0.00,8.97
15.94,0.00,8.51
15.86,0.00,8.15
15.91,0.00,7.79
15.87,0.00,7.45
15.89,0.00,7.20
15.91,0.00,6.84
15.88,0.00,6.38
15.90,0.00,6.19
15.89,0.00,5.97
15.89,0.00,5.97
15.91,0.00,6.07
15.93,0.00,5.97
15.89,0.00,6.09
