analogValue,load,distance
15.93,0.00,5.97
15.96,0.00,5.97
15.94,0.00,5.99
15.85,0.00,5.97
15.93,0.00,5.94
15.93,0.00,5.97
15.91,0.00,5.97
15.95,0.00,5.97
15.90,0.00,6.07
15.89,0.00,5.97
15.92,0.00,6.06
15.93,0.00,5.97
15.95,0.00,5.97
15.99,0.00,5.68
18.35,53.40,6.41
73.31,543.58,6.67
67.13,495.38,7.01
68.88,509.05,7.37
53.58,388.40,7.72
58.25,425.27,8.08
56.98,415.26,8.78
57.91,422.59,8.73
55.83,406.16,9.02
53.79,390.05,9.37
52.99,383.69,9.75
52.00,375.93,10.11
52.47,379.62,10.80
50.09,360.79,10.75
51.47,371.70,11.11
52.25,377.85,11.47
52.44,379.40,12.17
51.81,374.42,12.11
51.20,369.60,12.45
52.28,378.14,12.76
51.08,368.61,13.12
51.79,374.23,13.48
51.61,372.81,14.09
51.10,368.79,14.12
50.92,367.38,14.79
49.93,359.52,15.14
50.28,362.30,15.02
49.49,356.08,15.81
50.47,363.80,16.15
50.64,365.16,16.45
50.32,362.60,16.79
50.37,362.98,17.15
49.65,357.35,17.10
48.66,349.49,17.87
49.77,358.27,18.15
48.19,345.82,18.53
48.07,344.84,18.87
47.85,343.13,18.82
49.71,357.78,19.53
49.09,352.95,19.89
48.44,347.78,19.82
48.46,347.93,20.59
48.79,350.55,20.89
48.54,348.53,20.83
48.40,347.44,21.20
48.45,347.87,21.51
48.92,351.57,22.19
49.58,356.80,22.05
48.79,350.56,22.41
48.27,346.39,23.19
46.66,333.68,23.53
43.65,309.94,23.31
39.64,276.97,23.72
16.16,3.54,23.19
15.83,0.00,23.16
15.89,0.00,22.39
15.85,0.00,22.44
15.93,0.00,22.08
15.84,0.00,21.83
15.89,0.00,21.39
15.82,0.00,21.03
15.88,0.00,20.84
15.88,0.00,20.32
15.89,0.00,19.96
15.82,0.00,19.60
15.84,0.00,19.24
15.86,0.00,18.90
15.83,0.00,18.19
15.88,0.00,18.24
15.84,0.00,17.58
15.86,0.00,17.22
15.82,0.00,17.29
15.85,0.00,16.93
15.86,0.00,16.57
15.90,0.00,16.21
15.84,0.00,15.86
15.86,0.00,15.09
15.86,0.00,14.73
15.85,0.00,14.38
15.91,0.00,14.02
15.87,0.00,13.78
15.86,0.00,13.71
15.85,0.00,13.05
15.86,0.00,12.59
15.84,0.00,12.34
15.86,0.00,12.30
15.82,0.00,12.01
15.82,0.00,11.64
15.84,0.00,10.97
15.82,0.00,10.63
15.85,0.00,10.17
15.79,0.00,9.82
15.81,0.00,9.46
15.80,0.00,9.10
15.88,0.00,8.75
15.89,0.00,8.49
15.87,0.00,8.03
15.83,0.00,7.69
15.85,0.00,7.89
15.82,0.00,7.03
15.85,0.00,6.67
15.84,0.00,6.31
15.85,0.00,5.68
15.87,0.00,5.97
15.84,0.00,5.97
15.83,0.00,5.97
15.81,0.00,5.97
