analogValue,load,distance
15.98,0.00,5.97
16.00,0.00,5.99
15.98,0.00,5.97
15.99,0.00,5.97
16.00,0.00,5.97
15.98,0.00,6.07
15.99,0.00,5.99
15.98,0.00,5.99
15.95,0.00,5.97
15.96,0.00,5.97
15.97,0.00,5.99
16.04,0.00,6.26
16.00,0.00,6.55
16.04,0.00,6.91
35.96,246.08,7.32
77.29,574.65,7.61
58.89,430.33,8.39
60.89,446.12,8.27
54.28,393.94,8.63
57.69,420.86,8.97
54.61,396.48,9.68
54.49,395.54,9.63
56.07,408.02,9.92
53.86,390.59,10.28
52.79,382.13,10.63
54.63,396.71,11.33
52.95,383.43,11.28
53.99,391.61,12.00
51.46,371.67,11.93
51.62,372.86,12.23
53.58,388.41,12.57
50.65,365.23,12.88
52.61,380.71,13.65
50.70,365.61,13.95
49.85,358.95,14.19
51.04,368.34,14.50
50.80,366.40,14.85
50.48,363.90,15.16
51.21,369.67,15.50
51.92,375.27,15.86
50.06,360.56,16.16
50.18,361.56,16.50
48.03,344.57,17.29
48.75,350.26,16.74
49.14,353.31,17.52
50.55,364.44,17.81
50.17,361.42,18.17
52.19,377.39,18.46
51.52,372.07,18.41
51.61,372.81,19.12
50.48,363.86,19.07
49.41,355.43,19.77
49.84,358.86,19.70
48.83,350.82,20.49
50.04,360.42,20.37
50.11,360.95,21.13
49.13,353.22,21.44
49.00,352.23,21.73
49.67,357.50,21.68
48.48,348.12,21.88
49.10,352.98,22.60
48.94,351.72,22.95
51.38,370.96,23.26
47.89,343.46,23.62
49.06,352.65,23.97
49.62,357.06,24.26
43.25,306.75,24.43
19.54,70.70,24.31
16.01,0.00,23.87
15.96,0.00,23.57
15.94,0.00,23.34
15.95,0.00,23.09
15.95,0.00,22.63
15.97,0.00,22.27
15.90,0.00,21.98
15.94,0.00,21.63
15.94,0.00,21.27
15.96,0.00,20.50
15.94,0.00,20.66
15.93,0.00,20.20
15.94,0.00,20.01
15.98,0.00,19.14
15.97,0.00,18.89
15.95,0.00,18.94
15.99,0.00,18.48
16.00,0.00,18.19
15.92,0.00,17.93
15.92,0.00,17.58
15.98,0.00,17.22
15.97,0.00,16.88
15.92,0.00,16.62
15.95,0.00,16.15
15.95,0.00,15.81
15.96,0.00,15.50
15.97,0.00,15.16
15.95,0.00,14.48
15.98,0.00,14.02
15.97,0.00,14.09
15.93,0.00,13.32
15.92,0.00,13.44
15.94,0.00,12.76
16.02,0.00,12.30
15.98,0.00,11.94
15.96,0.00,12.01
15.95,0.00,11.65
15.93,0.00,10.94
15.96,0.00,10.58
15.92,0.00,10.24
15.93,0.00,9.87
15.91,0.00,9.58
15.92,0.00,9.65
15.93,0.00,8.86
15.95,0.00,8.61
15.97,0.00,8.17
15.99,0.00,7.81
15.95,0.00,7.50
15.97,0.00,7.15
15.93,0.00,6.81
15.93,0.00,6.43
15.93,0.00,6.16
15.95,0.00,5.97
