analogValue,load,distance
31.02,204.70,25.73
31.04,204.82,25.32
31.07,205.12,25.32
31.06,204.99,26.08
31.01,204.62,26.08
31.06,205.04,26.08
31.10,205.37,25.32
31.02,204.71,25.73
31.00,204.48,25.32
31.08,205.20,26.08
30.98,204.33,26.08
31.00,204.48,26.08
31.09,205.29,25.71
31.04,204.82,25.73
30.99,204.45,25.73
31.03,204.78,25.32
31.04,204.87,26.08
30.98,204.33,26.08
31.07,205.11,26.08
31.04,204.87,25.32
30.96,204.16,25.73
analogValue,load,distance
68.02,502.30,25.66
67.97,501.92,25.67
68.47,505.85,26.03
68.13,503.16,25.66
68.07,502.74,25.66
68.52,506.26,25.66
68.06,502.64,25.67
68.03,502.45,25.67
68.61,506.92,25.66
68.12,503.15,25.66
68.11,503.01,25.67
68.55,506.49,25.66
67.92,501.56,25.66
68.12,503.12,25.66
68.54,506.36,25.67
68.05,502.59,26.02
68.19,503.68,25.67
68.35,504.88,25.66
67.95,501.78,25.66
68.29,504.44,25.67
68.35,504.92,25.66
