Slice,Count,Total Area,Average Size,%Area,Mean
RT81_G1_6_para_Atr.TIF,5,0.14,0.028,0.114,255
RT82_G1_6_para_Atr.TIF,2,0.033,0.016,0.027,255
RT83_G1_6_para_Atr.TIF,4,0.196,0.049,0.159,255
RT84_G1_6_para_Atr.TIF,6,0.244,0.041,0.199,255
RT85_G1_6_para_Atr.TIF,9,0.213,0.024,0.173,255
RT86_G1_6_para_Atr.TIF,7,0.207,0.03,0.169,255
RT87_G1_6_para_Atr.TIF,5,0.221,0.044,0.179,255
RT88_G1_6_para_Atr.TIF,8,0.329,0.041,0.268,255
RT89_G1_6_para_Atr.TIF,3,0.1,0.033,0.081,255
RT8_G1_6_para_Atr.TIF,3,0.12,0.04,0.097,255
RT90_G1_6_para_Atr.TIF,3,0.155,0.052,0.126,255
RT91_G1_6_para_Atr.TIF,9,0.18,0.02,0.146,255
RT92_G1_6_para_Atr.TIF,2,0.058,0.029,0.047,255
RT93_G1_6_para_Atr.TIF,4,0.218,0.054,0.177,255
RT94_G1_6_para_Atr.TIF,3,0.058,0.019,0.047,255
RT95_G1_6_para_Atr.TIF,6,0.139,0.023,0.113,255
RT96_G1_6_para_Atr.TIF,4,0.064,0.016,0.052,255
RT97_G1_6_para_Atr.TIF,0,0,NaN,0,NaN
RT98_G1_6_para_Atr.TIF,1,0.026,0.026,0.021,255
RT99_G1_6_para_Atr.TIF,4,0.153,0.038,0.125,255
RT9_G1_6_para_Atr.TIF,7,0.266,0.038,0.216,255
RT_G1_6_negative_Atr.TIF,1,0.008,0.008,0.007,255
RT_G1_6_positive_Atr.TIF,6,0.22,0.037,0.178,255
