Slice,Count,Total Area,Average Size,%Area,Mean,,
G1_F1_R3_C7_AW.TIF,3,0.103,0.034,0.085,2.077,0.106,0.243
G1_F1_R3_C7_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R3_C8_AW.TIF,11,0.468,0.043,0.385,2.228,0.136,0.395
G1_F1_R3_C8_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R3_C9_AW.TIF,2,0.034,0.017,0.028,1.154,0.164,0.445
G1_F1_R3_C9_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R4_C1_AW.TIF,1,0.033,0.033,0.027,2.09,0.094,0.305
G1_F1_R4_C1_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R4_C10_AW.TIF,11,0.168,0.015,0.139,0.934,0.303,0.556
G1_F1_R4_C10_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R4_C2_AW.TIF,8,0.161,0.02,0.133,1.338,0.223,0.483
G1_F1_R4_C2_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R4_C3_AW.TIF,11,0.139,0.013,0.115,0.943,0.232,0.535
G1_F1_R4_C3_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R4_C4_AW.TIF,11,0.24,0.022,0.198,1.522,0.191,0.438
G1_F1_R4_C4_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R4_C5_AW.TIF,4,0.209,0.052,0.172,1.746,0.231,0.44
G1_F1_R4_C5_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R4_C6_AW.TIF,4,0.664,0.166,0.547,6.27,0.115,0.284
G1_F1_R4_C6_B.TIF,4,0.076,0.019,0.063,1.546,0.154,0.412
G1_F1_R4_C7_AW.TIF,8,0.385,0.048,0.317,2.646,0.161,0.394
G1_F1_R4_C7_B.TIF,1,0.063,0.063,0.052,3.2,0.078,0.235
G1_F1_R4_C8_AW.TIF,9,0.375,0.042,0.309,2.091,0.131,0.374
G1_F1_R4_C8_B.TIF,2,0.015,0.007,0.012,0.501,0.373,0.677
G1_F1_R4_C9_AW.TIF,11,0.233,0.021,0.192,1.492,0.176,0.396
G1_F1_R4_C9_B.TIF,0,0,NaN,0,NaN,NaN,NaN
