Slice,Count,Total Area,Average Size,%Area,Mean,Circ.,Solidity
W010_G1_1_para_AtrTa.TIF,10,0.166,0.017,0.138,255,0.251,0.569
W010_G1_2_para_AtrTa.TIF,2,0.02,0.01,0.017,255,0.333,0.629
W010_G1_3_para_AtrTa.TIF,3,0.064,0.021,0.053,255,0.137,0.455
W010_G1_6_perp_AtrTa.TIF,3,0.087,0.029,0.072,255,0.181,0.53
W010_G1_7_perp_AtrTa.TIF,2,0.026,0.013,0.022,255,0.184,0.435
W010_G1_8_perp_AtrTa.TIF,6,0.061,0.01,0.051,255,0.238,0.625
W010_G2_1_para_AtrTa.TIF,5,0.106,0.021,0.088,255,0.167,0.378
W010_G2_2_para_AtrTa.TIF,2,0.041,0.021,0.034,255,0.137,0.424
W010_G2_3_para_AtrTa.TIF,1,0.009,0.009,0.007,255,0.236,0.799
W010_G2_6_perp_AtrTa.TIF,10,0.152,0.015,0.126,255,0.196,0.569
W010_G2_7_perp_AtrTa.TIF,5,0.117,0.023,0.097,255,0.185,0.382
W010_G2_8_perp_AtrTa.TIF,6,0.066,0.011,0.055,255,0.259,0.6
W010_G3_1_para_AtrTa.TIF,2,0.034,0.017,0.028,255,0.199,0.466
W010_G3_2_para_AtrTa.TIF,1,0.007,0.007,0.006,255,0.231,0.593
W010_G3_3_para_AtrTa.TIF,1,0.024,0.024,0.02,255,0.191,0.41
W010_G3_6_perp_AtrTa.TIF,4,0.101,0.025,0.084,255,0.125,0.352
W010_G3_7_perp_AtrTa.TIF,6,0.082,0.014,0.069,255,0.251,0.596
W010_G3_8_perp_AtrTa.TIF,6,0.11,0.018,0.092,255,0.205,0.553
W010_G4_1_para_AtrTa.TIF,5,0.068,0.014,0.057,255,0.217,0.58
W010_G4_2_para_AtrTa.TIF,5,0.075,0.015,0.063,255,0.234,0.54
W010_G4_3_para_AtrTa.TIF,5,0.111,0.022,0.092,255,0.15,0.516
W010_G4_6_perp_AtrTa.TIF,4,0.074,0.018,0.061,255,0.187,0.558
W010_G4_7_perp_AtrTa.TIF,7,0.127,0.018,0.106,255,0.242,0.549
W010_G4_8_perp_AtrTa.TIF,7,0.153,0.022,0.127,255,0.219,0.49
W010_G5_1_para_AtrTa.TIF,5,0.096,0.019,0.08,255,0.286,0.612
W010_G5_2_para_AtrTa.TIF,4,0.117,0.029,0.097,255,0.229,0.453
W010_G5_3_para_AtrTa.TIF,4,0.05,0.013,0.042,255,0.183,0.585
W010_G5_6_perp_AtrTa.TIF,3,0.033,0.011,0.028,255,0.374,0.738
W010_G5_7_perp_AtrTa.TIF,1,0.009,0.009,0.007,255,0.342,0.762
W010_G5_8_perp_AtrTa.TIF,0,0,NaN,0,NaN,NaN,NaN
