Slice,Count,Total Area,Average Size,%Area,Mean,Circ.,Solidity
W011_G1_1_para_Atr.TIF,7,0.118,0.017,0.098,255,0.265,0.6
W011_G1_10_perp_Atr.TIF,5,0.064,0.013,0.053,255,0.353,0.645
W011_G1_2_para_Atr.TIF,2,0.033,0.016,0.027,255,0.204,0.595
W011_G1_3_para_Atr.TIF,4,0.084,0.021,0.07,255,0.19,0.482
W011_G1_4_para_Atr.TIF,4,0.085,0.021,0.071,255,0.179,0.496
W011_G1_5_para_Atr.TIF,4,0.072,0.018,0.06,255,0.261,0.616
W011_G1_6_perp_Atr.TIF,3,0.108,0.036,0.09,255,0.135,0.435
W011_G1_7_perp_Atr.TIF,6,0.074,0.012,0.062,255,0.326,0.712
W011_G1_8_perp_Atr.TIF,6,0.101,0.017,0.084,255,0.261,0.563
W011_G1_9_perp_Atr.TIF,6,0.134,0.022,0.112,255,0.208,0.569
W011_G2_1_para_Atr.TIF,8,0.183,0.023,0.152,255,0.203,0.528
W011_G2_10_perp_Atr.TIF,6,0.105,0.018,0.088,255,0.252,0.526
W011_G2_2_para_Atr.TIF,1,0.007,0.007,0.006,255,0.372,0.698
W011_G2_3_para_Atr.TIF,8,0.19,0.024,0.158,255,0.252,0.551
W011_G2_4_para_Atr.TIF,5,0.088,0.018,0.074,255,0.245,0.566
W011_G2_5_para_Atr.TIF,6,0.155,0.026,0.129,255,0.194,0.512
W011_G2_6_perp_Atr.TIF,6,0.174,0.029,0.145,255,0.144,0.503
W011_G2_7_perp_Atr.TIF,3,0.052,0.017,0.044,255,0.339,0.59
W011_G2_8_perp_Atr.TIF,14,0.319,0.023,0.266,255,0.265,0.594
W011_G2_9_perp_Atr.TIF,7,0.178,0.025,0.148,255,0.233,0.584
W011_G3_1_para_Atr.TIF,4,0.076,0.019,0.063,255,0.235,0.575
W011_G3_10_perp_Atr.TIF,10,0.163,0.016,0.135,255,0.286,0.659
W011_G3_2_para_Atr.TIF,10,0.181,0.018,0.151,255,0.228,0.517
W011_G3_3_para_Atr.TIF,7,0.141,0.02,0.117,255,0.285,0.644
W011_G3_4_para_Atr.TIF,8,0.158,0.02,0.132,255,0.281,0.572
W011_G3_5_para_Atr.TIF,5,0.097,0.019,0.081,255,0.191,0.508
W011_G3_6_perp_Atr.TIF,6,0.165,0.027,0.137,255,0.24,0.578
W011_G3_7_perp_Atr.TIF,11,0.308,0.028,0.256,255,0.224,0.55
W011_G3_8_perp_Atr.TIF,13,0.482,0.037,0.401,255,0.181,0.468
W011_G3_9_perp_Atr.TIF,9,0.172,0.019,0.143,255,0.222,0.462
W011_G4_1_para_Atr.TIF,4,0.045,0.011,0.038,255,0.305,0.674
W011_G4_10_perp_Atr.TIF,4,0.083,0.021,0.069,255,0.206,0.53
W011_G4_2_para_Atr.TIF,7,0.14,0.02,0.117,255,0.226,0.617
W011_G4_3_para_Atr.TIF,4,0.085,0.021,0.07,255,0.251,0.525
W011_G4_4_para_Atr.TIF,1,0.014,0.014,0.012,255,0.457,0.76
W011_G4_5_para_Atr.TIF,4,0.107,0.027,0.089,255,0.212,0.581
W011_G4_6_perp_Atr.TIF,1,0.023,0.023,0.019,255,0.152,0.45
W011_G4_7_perp_Atr.TIF,10,0.157,0.016,0.13,255,0.248,0.614
W011_G4_8_perp_Atr.TIF,7,0.197,0.028,0.164,255,0.244,0.566
W011_G4_9_perp_Atr.TIF,4,0.142,0.036,0.118,255,0.178,0.472
W011_G5_1_para_Atr.TIF,5,0.054,0.011,0.045,255,0.254,0.646
W011_G5_10_perp_Atr.TIF,5,0.108,0.022,0.09,255,0.18,0.544
W011_G5_2_para_Atr.TIF,3,0.04,0.013,0.033,255,0.309,0.634
W011_G5_3_para_Atr.TIF,3,0.041,0.014,0.034,255,0.308,0.552
W011_G5_4_para_Atr.TIF,9,0.274,0.03,0.228,255,0.174,0.492
W011_G5_5_para_Atr.TIF,6,0.064,0.011,0.054,255,0.274,0.587
W011_G5_6_perp_Atr.TIF,6,0.11,0.018,0.092,255,0.235,0.584
W011_G5_7_perp_Atr.TIF,6,0.156,0.026,0.13,255,0.285,0.611
W011_G5_8_perp_Atr.TIF,12,0.193,0.016,0.161,255,0.253,0.578
W011_G5_9_perp_Atr.TIF,5,0.062,0.012,0.052,255,0.385,0.657
W011_negative_Atr.TIF,0,0,NaN,0,NaN,NaN,NaN
W011_positive_Atr.TIF,11,0.358,0.033,0.298,255,0.162,0.44
