Slice,Count,Total Area,Average Size,%Area,Mean,Circ.,Solidity
W007_G1_1_para_Atr.TIF,19,0.389,0.02,0.324,1.234,0.251,0.585
W007_G1_2_para_Atr.TIF,12,0.261,0.022,0.217,1.286,0.209,0.523
W007_G1_3_para_Atr.TIF,3,0.046,0.015,0.038,0.875,0.281,0.648
W007_G1_6_perp_Atr.TIF,23,0.396,0.017,0.33,1.01,0.252,0.619
W007_G1_7_perp_Atr.TIF,11,0.244,0.022,0.203,1.284,0.195,0.545
W007_G1_8_perp_Atr.TIF,24,0.508,0.021,0.423,1.189,0.226,0.577
W007_G2_1_para_Atr.TIF,13,0.235,0.018,0.196,1.103,0.237,0.594
W007_G2_2_para_Atr.TIF,13,0.269,0.021,0.224,1.211,0.221,0.514
W007_G2_3_para_Atr.TIF,7,0.159,0.023,0.133,1.294,0.255,0.593
W007_G2_6_perp_Atr.TIF,18,0.391,0.022,0.325,1.287,0.25,0.585
W007_G2_7_perp_Atr.TIF,4,0.098,0.025,0.082,1.469,0.178,0.536
W007_G2_8_perp_Atr.TIF,8,0.21,0.026,0.175,1.471,0.199,0.572
W007_G3_1_para_Atr.TIF,11,0.144,0.013,0.12,0.851,0.264,0.616
W007_G3_2_para_Atr.TIF,11,0.344,0.031,0.287,1.49,0.264,0.609
W007_G3_3_para_Atr.TIF,14,0.339,0.024,0.283,1.351,0.226,0.555
W007_G3_6_perp_Atr.TIF,15,0.321,0.021,0.267,1.263,0.205,0.494
W007_G3_7_perp_Atr.TIF,20,0.395,0.02,0.329,1.172,0.251,0.572
W007_G3_8_perp_Atr.TIF,16,0.363,0.023,0.302,1.303,0.219,0.513
W007_G4_1_para_Atr.TIF,16,0.374,0.023,0.311,1.425,0.213,0.495
W007_G4_2_para_Atr.TIF,14,0.266,0.019,0.221,1.133,0.22,0.56
W007_G4_3_para_Atr.TIF,10,0.135,0.013,0.112,0.902,0.224,0.581
W007_G4_6_perp_Atr.TIF,22,0.51,0.023,0.425,1.221,0.255,0.571
W007_G4_7_perp_Atr.TIF,17,0.319,0.019,0.266,1.082,0.287,0.618
W007_G4_8_perp_Atr.TIF,15,0.402,0.027,0.335,1.547,0.223,0.532
W007_G5_1_para_Atr.TIF,6,0.117,0.019,0.097,1.158,0.241,0.524
W007_G5_2_para_Atr.TIF,7,0.088,0.013,0.073,0.772,0.285,0.636
W007_G5_3_para_Atr.TIF,15,0.384,0.026,0.319,1.497,0.202,0.502
W007_G5_6_perp_Atr.TIF,11,0.326,0.03,0.271,1.724,0.221,0.501
W007_G5_7_perp_Atr.TIF,11,0.256,0.023,0.213,1.341,0.217,0.558
W007_G5_8_perp_Atr.TIF,8,0.133,0.017,0.11,0.906,0.322,0.664
W007_negative__Atr.TIF,1,0.02,0.02,0.016,1.092,0.206,0.512
W007_positive__Atr.TIF,15,0.606,0.04,0.504,2.273,0.129,0.397
