Slice,Count,Total Area,Average Size,%Area,Mean,Circ.,Solidity
W009_G1_1_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G1_2_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G1_3_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G1_6_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G1_7_perp_B.TIF,1,0.009,0.009,0.007,255,0.313,0.716
W009_G1_8_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G2_1_para_B.TIF,1,0.011,0.011,0.009,255,0.256,0.773
W009_G2_2_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G2_3_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G2_6_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G2_7_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G2_8_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G3_1_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G3_2_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G3_3_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G3_6_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G3_7_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G3_8_perp_B.TIF,2,0.043,0.022,0.036,255,0.157,0.407
W009_G4_1_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G4_2_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G4_3_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G4_6_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G4_7_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G4_8_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G5_1_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G5_2_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G5_3_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G5_6_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G5_7_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W009_G5_8_perp_B.TIF,1,0.012,0.012,0.01,255,0.353,0.671
W009_negative_B.TIF,1,0.011,0.011,0.009,255,0.243,0.535
W009_positive_B.TIF,12,0.458,0.038,0.381,255,0.14,0.43
