Slice,Count,Total Area,Average Size,%Area,Mean,Circ.,Solidity
W011_G1_10_perp_AtrTa.TIF,3,0.05,0.017,0.042,255,0.378,0.692
W011_G1_1_para_AtrTa.TIF,5,0.09,0.018,0.075,255,0.184,0.452
W011_G1_2_para_AtrTa.TIF,1,0.007,0.007,0.005,255,0.35,0.595
W011_G1_3_para_AtrTa.TIF,2,0.04,0.02,0.033,255,0.212,0.589
W011_G1_4_para_AtrTa.TIF,4,0.087,0.022,0.073,255,0.175,0.43
W011_G1_5_para_AtrTa.TIF,3,0.056,0.019,0.047,255,0.258,0.615
W011_G1_6_perp_AtrTa.TIF,3,0.096,0.032,0.08,255,0.096,0.414
W011_G1_7_perp_AtrTa.TIF,3,0.042,0.014,0.035,255,0.277,0.661
W011_G1_8_perp_AtrTa.TIF,5,0.073,0.015,0.061,255,0.231,0.539
W011_G1_9_perp_AtrTa.TIF,5,0.115,0.023,0.095,255,0.197,0.515
W011_G2_10_perp_AtrTa.TIF,4,0.073,0.018,0.061,255,0.225,0.502
W011_G2_1_para_AtrTa.TIF,7,0.164,0.023,0.136,255,0.242,0.515
W011_G2_2_para_AtrTa.TIF,1,0.006,0.006,0.005,255,0.347,0.682
W011_G2_3_para_AtrTa.TIF,6,0.175,0.029,0.145,255,0.238,0.517
W011_G2_4_para_AtrTa.TIF,4,0.08,0.02,0.066,255,0.216,0.516
W011_G2_5_para_AtrTa.TIF,5,0.142,0.028,0.118,255,0.179,0.478
W011_G2_6_perp_AtrTa.TIF,5,0.157,0.031,0.131,255,0.216,0.526
W011_G2_7_perp_AtrTa.TIF,3,0.064,0.021,0.054,255,0.316,0.645
W011_G2_8_perp_AtrTa.TIF,12,0.311,0.026,0.259,255,0.239,0.508
W011_G2_9_perp_AtrTa.TIF,7,0.148,0.021,0.123,255,0.195,0.563
W011_G3_10_perp_AtrTa.TIF,10,0.131,0.013,0.109,255,0.308,0.653
W011_G3_1_para_AtrTa.TIF,6,0.073,0.012,0.061,255,0.243,0.601
W011_G3_2_para_AtrTa.TIF,7,0.123,0.018,0.103,255,0.184,0.445
W011_G3_3_para_AtrTa.TIF,6,0.126,0.021,0.105,255,0.328,0.628
W011_G3_4_para_AtrTa.TIF,8,0.155,0.019,0.129,255,0.266,0.542
W011_G3_5_para_AtrTa.TIF,4,0.084,0.021,0.07,255,0.205,0.542
W011_G3_6_perp_AtrTa.TIF,5,0.117,0.023,0.097,255,0.177,0.574
W011_G3_7_perp_AtrTa.TIF,10,0.276,0.028,0.23,255,0.162,0.377
W011_G3_8_perp_AtrTa.TIF,16,0.461,0.029,0.384,255,0.233,0.537
W011_G3_9_perp_AtrTa.TIF,5,0.15,0.03,0.125,255,0.157,0.373
W011_G4_10_perp_AtrTa.TIF,3,0.062,0.021,0.052,255,0.194,0.456
W011_G4_1_para_AtrTa.TIF,3,0.044,0.015,0.036,255,0.241,0.627
W011_G4_2_para_AtrTa.TIF,7,0.168,0.024,0.14,255,0.232,0.535
W011_G4_3_para_AtrTa.TIF,3,0.063,0.021,0.053,255,0.182,0.49
W011_G4_4_para_AtrTa.TIF,1,0.012,0.012,0.01,255,0.43,0.749
W011_G4_5_para_AtrTa.TIF,2,0.077,0.039,0.065,255,0.147,0.528
W011_G4_6_perp_AtrTa.TIF,1,0.021,0.021,0.018,255,0.131,0.497
W011_G4_7_perp_AtrTa.TIF,6,0.128,0.021,0.107,255,0.285,0.565
W011_G4_8_perp_AtrTa.TIF,5,0.153,0.031,0.128,255,0.196,0.486
W011_G4_9_perp_AtrTa.TIF,4,0.125,0.031,0.104,255,0.155,0.44
W011_G5_10_perp_AtrTa.TIF,3,0.082,0.027,0.068,255,0.147,0.421
W011_G5_1_para_AtrTa.TIF,3,0.035,0.012,0.029,255,0.214,0.601
W011_G5_2_para_AtrTa.TIF,2,0.028,0.014,0.024,255,0.223,0.579
W011_G5_3_para_AtrTa.TIF,1,0.019,0.019,0.016,255,0.098,0.233
W011_G5_4_para_AtrTa.TIF,9,0.265,0.029,0.221,255,0.179,0.507
W011_G5_5_para_AtrTa.TIF,2,0.019,0.009,0.016,255,0.313,0.673
W011_G5_6_perp_AtrTa.TIF,4,0.081,0.02,0.068,255,0.187,0.51
W011_G5_7_perp_AtrTa.TIF,7,0.143,0.02,0.119,255,0.238,0.487
W011_G5_8_perp_AtrTa.TIF,8,0.109,0.014,0.09,255,0.267,0.556
W011_G5_9_perp_AtrTa.TIF,5,0.063,0.013,0.052,255,0.253,0.531
