Wash number,Average,median,SD,SD2,Forthesis
W000,5.6,5,4.01,4.12,5.6 ± 4.01
W001,11.2,12.5,2.57,2.74,11.2 ± 2.57
W002,7.6,7.5,3.37,3.5,7.6 ± 3.37
W003,2.9,2,2.13,2.33,2.9 ± 2.13
W004,2.7,2.5,1.64,1.9,2.7 ± 1.64
W005,2.8,3.5,1.4,1.69,2.8 ± 1.4
W006,3.2,3.5,1.69,1.94,3.2 ± 1.69
W007,1.2,1,0.79,1.24,1.2 ± 0.79
W008,1.3,1,1.06,1.42,1.3 ± 1.06
W009,3,3,1.49,1.77,3 ± 1.49
W010,2.3,2.5,1.77,2.01,2.3 ± 1.77
W013,2.2,2,1.55,1.82,2.2 ± 1.55
W015,2.3,1.5,2.11,2.31,2.3 ± 2.11
