Weight,Uweight,U2weight,Loadcell,Uloadcell,U2loadcell
0,0.0029,0.0058,0.02,0.01,0.02
22.33,0.0029,0.0058,23.89,0.14,0.29
49.75,0.0029,0.0058,51.61,0.13,0.27
99.63,0.0029,0.0058,100.38,0.1,0.22
200.07,0.0029,0.0058,200.46,0.09,0.18
299.86,0.0029,0.0058,301.11,0.09,0.19
399.13,0.0029,0.0058,399.8,0.07,0.15
499.11,0.0029,0.0058,500.01,0.11,0.24
598.21,0.0029,0.0058,598.85,0.08,0.16
698.43,0.0029,0.0058,699.23,0.09,0.19
798.1,0.0029,0.0058,798.74,0.08,0.17
898.44,0.0029,0.0058,898.98,0.09,0.2
998.76,0.0029,0.0058,998.67,0.08,0.17
