G1para,G2para,G3para,G1perp,G2perp,G3perp
1.0000000,0.8510284,0.8436088,0.8480324,0.9163398,0.8970308
0.8510284,1.0000000,0.8931980,0.8774192,0.8824998,0.9144100
0.8436088,0.8931980,1.0000000,0.8274932,0.8704329,0.8414883
0.8480324,0.8774192,0.8274932,1.0000000,0.8258343,0.8829566
0.9163398,0.8824998,0.8704329,0.8258343,1.0000000,0.8939353
0.8970308,0.9144100,0.8414883,0.8829566,0.8939353,1.0000000
