G1,G2,G3,G4,G5
1.0000000,0.9618780,0.9575071,0.9688516,0.9274846
0.9618780,1.0000000,0.9329113,0.9381057,0.9285275
0.9575071,0.9329113,1.0000000,0.9573076,0.9441986
0.9688516,0.9381057,0.9573076,1.0000000,0.9583679
0.9274846,0.9285275,0.9441986,0.9583679,1.0000000
