Wash number,Average,median,SD,SD2,Forthesis
W000,4.9,5.5,1.85,2.08,4.9 ± 1.85
W001,12.9,11,4.51,4.61,12.9 ± 4.51
W002,7.9,8.5,3,3.15,7.9 ± 3
W003,5.08,4.5,4.1,4.21,5.08 ± 4.1
W004,4.6,4,1.26,1.58,4.6 ± 1.26
W005,4.5,4.5,2.01,2.22,4.5 ± 2.01
W006,4.4,4,2.41,2.59,4.4 ± 2.41
W007,3.1,3,1.1,1.45,3.1 ± 1.1
W008,1,1,1.15,1.49,1 ± 1.15
W009,1.9,2,0.99,1.37,1.9 ± 0.99
W010,1.3,1,1.42,1.71,1.3 ± 1.42
W013,0.5,0,0.71,1.19,0.5 ± 0.71
W015,1.6,1,1.78,2.02,1.6 ± 1.78
