Washnumber,Wash,Rinse,Total
1,5.5,18,23.5
2,5.5,17,22.5
3,5.5,15.5,21
4,5.5,15.5,21
5,5.5,17,22.5
6,5.5,16.5,22
7,5.5,16.25,21.75
8,5.5,16,21.5
9,5.5,16.5,22
10,5.5,17,22.5
11,5.5,16.5,22
12,5.5,17,22.5
13,5.5,15.5,21
14,5.5,16,21.5
15,5.5,16.5,22
